Origin,Destination,Weight,Class,P/U,Date,Net Charge,Fuel Charge,Total Charge,Carrier,transit time
75244,29607,403,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,2
75244,19720,309,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,3
75244,60130,383,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,2
75244,63042,802,77.5,P,9/14/18,$102.80 ,23.13,125.93,FXFE,2
75244,65801,315,77.5,P,9/14/18,$94.77 ,21.32,116.09,FXFE,1
75244,64121,428,77.5,P,9/14/18,$94.77 ,21.32,116.09,FXFE,1
75244,30369,361,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,2
75244,29292,542,77.5,P,9/14/18,$102.85 ,23.14,125.99,FXFE,2
75244,38101,302,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,1
75244,29418,329,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,2
75244,35203,451,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,2
75244,36119,214,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,2
75244,39201,709,77.5,P,9/14/18,$97.09 ,21.85,118.94,FXFE,1
75244,83708,219,77.5,P,9/14/18,$137.79 ,31,168.79,FXFE,3
75244,84199,516,77.5,P,9/14/18,$137.79 ,31,168.79,FXFE,3
75244,93380,224,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,3
75244,90201,359,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,2
75244,94615,214,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,3
75244,95799,392,77.5,P,9/14/18,$117.35 ,26.4,143.75,FXFE,3
75244,92403,463,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,2
75244,92199,281,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,3
75244,92799,281,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,2
75244,91383,234,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,2
75244,94850,417,77.5,P,9/14/18,$120.93 ,27.21,148.14,FXFE,3
75244,90052,488,77.5,P,9/14/18,$116.86 ,26.29,143.15,FXFE,2
,,,,,,"$2,717.74 ",$611.49 ,"$3,329.23 ",,